Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-01-12 11:18:24,false,"Pima County Running","3.51","409","00:33:21","126","144","3.0","155","233","9:30","5:04","70","74","1.09","0.0","5,178","60.8","No","00:04:44.4","2","75.2","00:33:14","00:33:21","2,244","2,298"
Running,2025-01-10 11:41:37,false,"Tucson Running","1.38","173","00:13:00","150","170","2.4","156","224","9:23","7:25","51","20","1.10","0.0","2,062","69.8","No","00:13:00","1","80.6","00:12:59","00:13:00","2,376","2,409"
Running,2025-01-10 10:01:05,false,"Tucson Running","1.00","133","00:11:20","137","153","2.0","140","172","11:20","8:38","19","23","1.01","0.0","1,640","66.2","No","00:11:20","1","73.4","00:09:48","00:11:22","2,420","2,440"
Running,2025-01-08 17:29:13,false,"Tucson Running","1.25","151","00:12:08","140","159","2.1","161","170","9:42","7:51","38","73","1.03","0.0","1,950","66.2","No","00:12:08","1","77.0","00:12:07","00:12:08","2,304","2,362"
Running,2025-01-07 16:14:17,false,"Tucson - Base","4.16","514","00:38:01","152","172","3.5","154","167","9:08","6:42","94","79","1.14","0.0","5,932","73.4","No","00:02:00.7","3","80.6","00:37:18","00:41:36","2,356","2,424"
Running,2025-01-05 11:42:31,false,"Tucson Running","11.11","1,367","01:55:00","145","176","4.2","147","239","10:21","4:37","183","173","1.06","0.0","17,060","69.8","No","00:21:11","4","80.6","01:49:41","01:55:00","2,316","2,434"
Running,2025-01-01 13:08:17,false,"Tucson Running","6.35","787","01:06:30","144","171","3.4","152","167","10:28","6:54","164","133","1.01","0.0","10,194","80.6","No","00:01:42.2","3","89.6","01:03:51","01:06:30","2,367","2,477"
Trail Running,2024-12-29 14:30:12,false,"Brown Mountain x2ish","9.30","1,448","02:06:13","160","187","4.1","134","247","13:34","6:44","1,852","1,880","0.89","0.0","17,442","78.8","No","00:00:02.8","4","93.2","02:02:40","02:07:02","2,623","3,091"
Running,2024-12-27 12:57:56,false,"Tucson Running","3.82","460","00:36:00","143","174","3.2","160","190","9:25","5:20","96","113","1.07","0.0","5,770","69.8","No","00:12:00","2","78.8","00:36:00","00:36:00","2,389","2,436"
Running,2024-12-25 13:07:30,false,"Tucson Running","15.07","1,921","02:42:31","152","182","4.7","150","223","10:47","5:00","291","296","1.00","0.0","24,626","71.6","No","00:01:19.2","7","80.6","02:34:47","02:42:32","2,246","2,421"
Running,2024-12-23 15:59:21,false,"Tucson - Threshold","3.36","404","00:29:00","151","175","3.6","154","167","8:37","6:15","67","69","1.21","0.0","4,488","75.2","No","00:10:00","2","84.2","00:29:00","00:29:00","2,396","2,432"
Running,2024-12-19 14:26:12,false,"Tucson Running","5.33","695","01:02:00","148","177","3.2","145","231","11:38","6:22","91","107","0.95","0.0","9,070","80.6","No","00:25:26","2","87.8","00:58:22","01:02:00","2,320","2,428"
Running,2024-12-18 15:50:22,false,"Tucson Running","1.20","146","00:14:00","132","145","1.6","156","165","11:39","10:32","7","26","0.89","0.0","2,198","82.4","No","00:14:00","1","86.0","00:13:40","00:20:55","2,396","2,430"
Running,2024-12-17 15:30:24,false,"last run of age 33 🍻","16.20","2,075","03:00:00","152","175","4.6","148","166","11:06","8:17","272","305","0.98","0.0","27,094","66.2","No","00:08:13.0","6","78.8","02:48:39","03:00:00","2,300","2,436"
Running,2024-12-16 14:39:17,false,"Tucson Running","3.11","385","00:27:32","160","184","3.4","153","169","8:51","6:20","74","76","1.19","0.0","4,244","80.6","No","00:00:11.4","2","84.2","00:27:12","00:28:14","2,387","2,425"
Running,2024-12-12 15:09:14,false,"Tucson Running","2.70","335","00:30:30","143","162","2.4","156","165","11:18","8:24","51","77","0.91","0.0","4,778","77.0","No","00:30:30","1","84.2","00:30:16","00:30:33","2,360","2,428"
Running,2024-12-10 16:45:13,false,"Tucson Running","2.34","295","00:24:00","144","161","2.8","154","230","10:15","8:19","47","78","1.02","0.0","3,684","66.2","No","00:24:00","1","75.2","00:23:35","00:24:00","2,384","2,428"
Ultra Running,2024-12-07 07:15:05,false,"Collosal Vail 50/50 (55k)","34.18","4,441","08:58:43","140","171","5.0","127","250","15:46","8:56","2,862","2,866","0.80","0.0","69,640","53.6","No","00:05:31.4","35","91.4","07:48:50","08:58:43","3,291","4,192"
